Date,Odometer,Description,Type,Amount,Service Location
3/1/2028,"288,785",Oil change and new bkr7e spark plugs,,, Self
6/8/2024,,fix drooping sunroof crank!,,,Self
6/7/2024,,install viper keyless entry and alarm,,$411.56,pro sound and stereo richmond CA
5/22/2024,"286,876","New muffler to get rid of exhaust drone, smaller with oem-looking chrome tips",,$327.89,midway muffler and brake
5/10/2024,"286,577","major work… transmission leak fixed + remounted + worn parts replaced, new flex disc, new tires - kumho ecsta st KUM 255-50-15, valve cover seals all replaced, brake booster (ix) rebuilt and resealed, fuel pump preplaced (deatschwerks dw300c e30 340 lph ),  new pressure regulator, check valve replaced, ",Service,"$6,941.22","bavarian professionals, berkeley ca"
4/15/2024,"286,564",Smog test - PASS. Donor car for intake manifold was a 1992 325i. CAT#D197117,Inspection,$125.00,STAR SMOG Express
4/13/2024,"286,366",I bought it from Dariush Garber for $17k,Ownership,"$17,000.00",Sacramento
11/16/2023,"285,140",Oil and Filter. Tire inspection. Valve cover seeping. Shaft seal seeping. Brakes at 6mm (R) 8mm (F). Tires at 10/32s,Service,$155.00,Shatz & Krum - Sac
4/11/2023,"282,566", Passed emissions inspection ,Inspection,,"West Sacramento, CaliforniaCalifornia
West Sacramento, CaliforniaInspection Station
West Sacramento, CaliforniaWest Sacramento, CA"
2/1/2023,"281,840","Oil change. Replace Cluster Circuit Board. Replace Alternator. (Tach was not working, losing power). Recommended 30k service for s52 (not seeing follow up on this).",Service,"$2,992.00",Shatz & Krum - Sac
12/29/2021,"277,466",New negative battery cable. ,Service,$171.58,Shatz & Krum - Sac
12/19/2021,"277,348",Fuel pump replaced. Plastic cover on intake. Battery replaced prior to service. Oil Service.,Service,"$1,182.22",Shatz & Krum - Sac
5/7/2021,"275,000","Coolant, 6PK Pulley, New Radiator, new AC Belts",Service,"$1,225.90",Shatz & Krum - Sac
3/11/2021,"275,020",Smog - PASS,,$85.00,West Sac Smog
3/11/2021,"275,020", Passed emissions inspection ,Inspection,,"West Sacramento, CaliforniaCalifornia
West Sacramento, CaliforniaInspection Station
West Sacramento, CaliforniaWest Sacramento, CA"
2/15/2021,"274,842","Repair coolant leak (hose replaced, Customer replaced level sensor, plastic causing intermittent signal). Weather strip install. Driver door lock issue - no fix.",Service,$548.49,Shatz & Krum - Sac
